COUNTRY_REGION_CODE,COUNTRY_REGION,SUB_REGION_1,SUB_REGION_2,METRO_AREA,ISO_3166_2_CODE,CENSUS_FIPS_CODE,PLACE_ID,DATE,RETAIL_AND_RECREATION_PERCENT_CHANGE_FROM_BASELINE,GROCERY_AND_PHARMACY_PERCENT_CHANGE_FROM_BASELINE,PARKS_PERCENT_CHANGE_FROM_BASELINE,TRANSIT_STATIONS_PERCENT_CHANGE_FROM_BASELINE,WORKPLACES_PERCENT_CHANGE_FROM_BASELINE,RESIDENTIAL_PERCENT_CHANGE_FROM_BASELINE
GT,Guatemala,,,,,,,2025-01-01,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-02,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-03,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-04,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-05,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-06,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-07,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-08,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-09,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-10,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-11,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-12,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-13,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-14,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-15,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-16,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-17,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-18,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-19,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-20,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-21,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-22,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-23,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-24,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-25,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-26,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-27,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-28,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-29,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-30,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-01-31,36,43,22,4,29,10
