YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2025,3,1,27.83,20.14,23.98,28.23,8.38,33.05,24.67,14.76,65.15,2.39
2025,3,2,24.02,20.81,22.41,23.96,2.64,25.36,22.72,15.24,82.28,7.82
2025,3,3,25.05,23.19,24.12,25.0,3.86,27.51,23.65,17.68,89.68,10.29
2025,3,4,26.38,23.37,24.88,26.44,8.14,31.03,22.89,17.86,84.17,5.02
2025,3,5,30.34,23.39,26.86,30.28,11.93,37.08,25.15,17.87,68.24,1.33
2025,3,6,30.64,21.84,26.24,30.62,12.67,37.39,24.72,16.24,61.56,2.13
2025,3,7,30.7,20.51,25.6,30.66,11.3,36.69,25.39,14.95,55.93,3.31
2025,3,8,21.49,14.92,18.21,21.4,10.78,28.15,17.37,10.97,67.9,11.1
2025,3,9,18.83,9.35,14.09,19.79,11.19,24.66,13.47,7.21,56.51,0.0
2025,3,10,20.69,10.5,15.6,21.07,13.28,26.97,13.69,7.86,54.79,0.0
2025,3,11,20.0,9.97,14.99,20.51,8.98,24.43,15.45,7.59,53.5,3.68
2025,3,12,18.16,10.29,14.23,18.99,8.74,23.19,14.45,7.69,62.99,4.14
2025,3,13,17.64,7.88,12.76,18.43,10.64,23.34,12.7,6.61,56.88,0.02
2025,3,14,19.02,12.36,15.69,19.78,12.6,25.2,12.6,8.84,68.38,0.11
2025,3,15,21.03,13.2,17.12,21.76,11.88,27.05,15.17,9.34,63.96,0.08
2025,3,16,22.33,14.02,18.17,22.82,10.7,27.79,17.09,9.86,61.9,0.0
2025,3,17,24.16,15.38,19.77,24.98,12.96,30.81,17.85,10.76,60.98,0.12
2025,3,18,25.72,16.18,20.95,26.18,14.0,32.8,18.8,11.34,58.11,0.87
2025,3,19,26.3,14.47,20.38,26.48,14.48,33.73,19.25,10.18,50.81,0.0
2025,3,20,26.69,12.84,19.76,26.83,14.67,34.4,19.73,9.18,45.45,0.0
2025,3,21,27.22,14.17,20.7,27.48,13.14,33.83,20.69,10.0,46.36,0.03
2025,3,22,24.96,16.32,20.63,24.99,8.43,28.84,20.41,11.49,59.71,4.65
2025,3,23,21.6,17.81,19.7,22.08,6.76,25.68,18.92,12.61,79.93,0.89
2025,3,24,21.43,17.33,19.38,21.86,5.39,24.47,19.08,12.19,78.01,1.42
2025,3,25,21.74,15.28,18.51,22.64,9.4,27.18,17.78,10.67,68.26,0.2
2025,3,26,23.02,14.82,18.92,23.62,11.97,29.12,17.15,10.4,61.29,0.0
2025,3,27,24.49,18.0,21.24,25.08,10.39,30.57,20.18,12.78,68.42,2.2
2025,3,28,23.57,18.78,21.17,24.05,8.32,28.26,19.94,13.46,76.31,4.47
2025,3,29,22.62,14.52,18.57,22.9,11.26,28.8,17.54,10.34,64.9,0.0
2025,3,30,24.48,16.78,20.63,24.78,16.24,31.8,15.56,12.11,63.52,10.26
2025,3,31,16.16,9.2,12.68,16.77,8.29,21.6,13.31,7.15,64.65,1.75
