COUNTRY_REGION_CODE,COUNTRY_REGION,SUB_REGION_1,SUB_REGION_2,METRO_AREA,ISO_3166_2_CODE,CENSUS_FIPS_CODE,PLACE_ID,DATE,RETAIL_AND_RECREATION_PERCENT_CHANGE_FROM_BASELINE,GROCERY_AND_PHARMACY_PERCENT_CHANGE_FROM_BASELINE,PARKS_PERCENT_CHANGE_FROM_BASELINE,TRANSIT_STATIONS_PERCENT_CHANGE_FROM_BASELINE,WORKPLACES_PERCENT_CHANGE_FROM_BASELINE,RESIDENTIAL_PERCENT_CHANGE_FROM_BASELINE
CO,Colombia,,,,,,,01-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,02-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,03-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,04-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,05-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,06-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,07-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,08-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,09-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,10-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,11-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,12-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,13-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,14-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,15-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,16-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,17-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,18-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,19-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,20-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,21-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,22-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,23-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,24-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,25-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,26-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,27-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,28-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,29-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,30-03-2025,57,57,57,57,57,57
CO,Colombia,,,,,,,31-03-2025,57,57,57,57,57,57
