YEAR,MO,DY,Distribuidora,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,Distribuidora
2025,3,1,Cali,17.97,15.5,16.73,18.16,7.94,22.75,14.81,13.65,86.57,9.5,Cali
2025,3,2,Cali,16.9,15.63,16.26,16.98,4.25,19.48,15.23,13.77,92.56,31.43,Cali
2025,3,3,Cali,17.18,15.62,16.4,17.35,4.78,20.1,15.32,13.76,90.93,22.53,Cali
2025,3,4,Cali,17.15,15.46,16.31,17.3,5.39,20.57,15.18,13.62,90.29,21.85,Cali
2025,3,5,Cali,16.58,15.36,15.97,16.69,3.77,18.94,15.17,13.54,92.8,22.61,Cali
2025,3,6,Cali,16.43,14.87,15.65,16.71,4.96,19.36,14.4,13.09,91.0,25.18,Cali
2025,3,7,Cali,16.97,15.07,16.02,17.21,7.04,21.37,14.33,13.25,89.36,18.19,Cali
2025,3,8,Cali,17.19,15.51,16.35,17.36,4.86,20.36,15.5,13.63,90.39,17.61,Cali
2025,3,9,Cali,17.4,15.35,16.37,17.63,6.8,21.82,15.02,13.49,88.57,10.61,Cali
2025,3,10,Cali,17.7,15.09,16.4,18.04,8.96,22.91,13.95,13.28,85.99,8.69,Cali
2025,3,11,Cali,17.48,15.48,16.48,17.72,6.49,21.59,15.1,13.61,88.84,17.64,Cali
2025,3,12,Cali,17.73,15.63,16.68,18.04,7.31,22.33,15.02,13.74,88.48,13.79,Cali
2025,3,13,Cali,17.67,15.57,16.62,17.96,7.58,22.46,14.88,13.69,88.43,27.3,Cali
2025,3,14,Cali,16.26,15.18,15.72,16.25,3.75,18.61,14.86,13.38,93.63,43.91,Cali
2025,3,15,Cali,16.29,14.89,15.59,16.11,4.37,18.89,14.52,13.14,91.75,11.31,Cali
2025,3,16,Cali,16.61,14.84,15.72,16.55,5.79,20.16,14.37,13.06,89.81,14.89,Cali
2025,3,17,Cali,16.86,14.71,15.78,17.02,8.16,21.44,13.28,12.94,88.1,13.84,Cali
2025,3,18,Cali,17.6,15.42,16.51,17.88,8.13,22.26,14.13,13.57,87.99,15.51,Cali
2025,3,19,Cali,17.97,15.73,16.85,18.27,8.1,22.78,14.68,13.85,87.74,10.22,Cali
2025,3,20,Cali,17.0,15.05,16.03,17.05,6.41,20.68,14.27,13.25,88.96,5.52,Cali
2025,3,21,Cali,17.46,14.94,16.2,17.82,10.49,23.22,12.73,13.19,86.48,5.81,Cali
2025,3,22,Cali,17.7,15.71,16.71,17.99,8.11,22.28,14.17,13.86,89.02,7.88,Cali
2025,3,23,Cali,17.95,15.6,16.77,18.3,8.63,22.89,14.26,13.74,87.33,4.67,Cali
2025,3,24,Cali,18.22,15.49,16.85,18.5,9.13,23.52,14.39,13.64,85.69,3.84,Cali
2025,3,25,Cali,18.18,15.38,16.78,18.39,9.63,23.78,14.15,13.53,85.19,7.98,Cali
2025,3,26,Cali,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Cali
2025,3,27,Cali,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Cali
2025,3,28,Cali,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Cali
2025,3,29,Cali,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Cali
2025,3,30,Cali,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Cali
2025,3,31,Cali,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Cali
2025,3,1,Girardot,20.23,17.98,19.1,20.27,5.71,24.07,18.36,15.04,87.74,24.6,Girardot
2025,3,2,Girardot,20.25,17.53,18.89,20.35,7.85,24.83,16.98,14.61,85.65,10.79,Girardot
2025,3,3,Girardot,20.06,17.79,18.93,19.93,5.67,23.71,18.04,14.85,87.57,15.15,Girardot
2025,3,4,Girardot,20.38,17.95,19.17,20.27,6.7,24.74,18.04,15.01,86.86,23.54,Girardot
2025,3,5,Girardot,19.32,17.99,18.65,19.16,2.91,21.2,18.29,15.06,92.29,27.84,Girardot
2025,3,6,Girardot,18.64,17.37,18.0,18.42,2.61,20.19,17.58,14.46,92.58,17.35,Girardot
2025,3,7,Girardot,18.94,16.85,17.89,18.67,6.4,22.52,16.12,13.96,88.36,4.78,Girardot
2025,3,8,Girardot,19.88,17.42,18.65,19.89,7.13,24.4,17.27,14.48,86.74,10.01,Girardot
2025,3,9,Girardot,21.01,17.72,19.37,21.02,8.69,26.19,17.5,14.77,83.08,7.13,Girardot
2025,3,10,Girardot,21.03,17.25,19.14,21.03,8.78,26.23,17.45,14.33,80.76,9.66,Girardot
2025,3,11,Girardot,20.84,17.43,19.14,20.58,8.44,25.78,17.34,14.51,81.98,14.16,Girardot
2025,3,12,Girardot,20.58,17.98,19.28,20.69,7.0,25.32,18.32,15.01,86.23,25.14,Girardot
2025,3,13,Girardot,21.02,18.28,19.65,21.15,7.58,25.85,18.27,15.31,85.54,21.51,Girardot
2025,3,14,Girardot,18.93,18.03,18.48,18.67,1.99,19.6,17.61,15.1,94.66,33.42,Girardot
2025,3,15,Girardot,19.74,17.2,18.47,19.84,8.45,24.79,16.34,14.32,86.65,6.45,Girardot
2025,3,16,Girardot,20.39,17.79,19.09,20.47,8.2,25.5,17.3,14.83,86.28,22.91,Girardot
2025,3,17,Girardot,18.89,17.67,18.28,18.74,2.77,20.49,17.72,14.71,92.85,10.47,Girardot
2025,3,18,Girardot,20.28,17.43,18.86,20.25,7.68,24.6,16.92,14.5,84.98,9.77,Girardot
2025,3,19,Girardot,20.62,17.91,19.26,20.61,7.79,25.54,17.75,14.96,85.66,11.33,Girardot
2025,3,20,Girardot,19.97,17.59,18.78,19.76,6.66,24.25,17.59,14.64,86.97,8.02,Girardot
2025,3,21,Girardot,20.63,17.77,19.2,20.67,8.89,25.67,16.78,14.82,85.0,9.16,Girardot
