YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2025,3,1,22.77,18.28,20.53,23.04,12.82,29.54,16.72,14.12,78.15,0.18
2025,3,2,22.56,18.11,20.33,22.76,11.5,29.05,17.55,13.92,78.19,0.16
2025,3,3,22.79,18.0,20.4,23.09,12.58,29.61,17.03,13.85,76.95,0.08
2025,3,4,22.95,17.69,20.32,23.14,12.44,29.59,17.15,13.62,75.26,0.06
2025,3,5,22.99,17.45,20.22,23.06,11.43,29.31,17.88,13.41,74.23,0.11
2025,3,6,22.45,16.81,19.63,22.55,12.77,29.39,16.62,12.85,73.87,0.01
2025,3,7,22.57,17.02,19.8,22.71,14.34,29.78,15.44,13.02,73.49,0.31
2025,3,8,23.17,17.51,20.34,23.37,12.16,29.91,17.75,13.46,74.07,0.15
2025,3,9,23.78,18.33,21.06,23.96,11.62,30.34,18.72,14.17,74.91,0.12
2025,3,10,23.86,18.53,21.2,24.33,11.8,30.47,18.67,14.32,74.95,0.13
2025,3,11,23.46,18.42,20.94,24.05,12.25,30.17,17.92,14.21,76.07,0.24
2025,3,12,23.33,18.09,20.71,23.83,12.64,30.2,17.56,13.93,75.63,0.09
2025,3,13,23.74,18.16,20.95,24.24,11.85,30.38,18.53,13.99,73.8,0.04
2025,3,14,23.85,18.52,21.18,24.43,12.37,30.72,18.35,14.34,75.33,0.31
2025,3,15,24.07,19.65,21.86,24.62,10.73,30.29,19.56,15.39,78.99,2.35
2025,3,16,22.72,21.3,22.01,22.87,3.75,25.06,21.31,17.02,91.91,17.89
2025,3,17,23.97,19.72,21.84,24.44,9.81,30.11,20.3,15.39,79.42,0.86
2025,3,18,22.34,16.18,19.26,22.55,11.54,29.03,17.49,12.34,71.18,0.07
2025,3,19,22.86,16.41,19.63,22.91,14.75,30.66,15.91,12.56,71.01,0.01
2025,3,20,22.77,16.84,19.8,23.16,14.11,30.62,16.51,12.88,72.76,0.06
2025,3,21,22.21,16.7,19.46,22.61,12.24,29.01,16.77,12.74,72.87,0.08
2025,3,22,23.09,19.26,21.18,23.55,10.67,28.87,18.2,15.0,80.09,2.43
2025,3,23,23.81,19.12,21.47,24.35,10.48,30.18,19.7,14.85,76.75,0.54
2025,3,24,23.19,19.92,21.55,23.73,9.65,28.89,19.24,15.63,82.96,5.01
2025,3,25,23.96,20.06,22.01,24.48,10.11,29.87,19.76,15.74,80.2,1.91
2025,3,26,23.71,18.95,21.33,24.27,10.39,29.95,19.56,14.67,76.42,0.32
2025,3,27,23.16,18.51,20.83,23.73,10.51,29.31,18.8,14.27,77.03,0.44
2025,3,28,23.41,18.48,20.94,24.0,11.67,30.12,18.45,14.26,75.89,0.48
2025,3,29,23.9,18.34,21.12,24.5,12.84,30.75,17.91,14.15,73.66,0.31
2025,3,30,24.0,18.89,21.44,24.7,12.32,30.57,18.25,14.65,75.49,1.07
2025,3,31,24.23,19.22,21.72,24.92,10.9,30.5,19.6,14.97,75.86,0.82
