COUNTRY_REGION_CODE,COUNTRY_REGION,SUB_REGION_1,SUB_REGION_2,METRO_AREA,ISO_3166_2_CODE,CENSUS_FIPS_CODE,PLACE_ID,DATE,RETAIL_AND_RECREATION_PERCENT_CHANGE_FROM_BASELINE,GROCERY_AND_PHARMACY_PERCENT_CHANGE_FROM_BASELINE,PARKS_PERCENT_CHANGE_FROM_BASELINE,TRANSIT_STATIONS_PERCENT_CHANGE_FROM_BASELINE,WORKPLACES_PERCENT_CHANGE_FROM_BASELINE,RESIDENTIAL_PERCENT_CHANGE_FROM_BASELINE
GT,Guatemala,,,,,,,2025-01-03,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-02-03,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-03,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-04-03,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-05-03,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-06-03,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-07-03,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-08-03,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-09-03,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-10-03,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-11-03,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-12-03,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-13,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-14,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-15,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-16,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-17,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-18,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-19,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-20,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-21,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-22,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-23,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-24,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-25,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-26,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-27,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-28,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-29,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-30,36,43,22,4,29,10
GT,Guatemala,,,,,,,2025-03-31,36,43,22,4,29,10
