YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2025,3,1,20.94,14.85,17.9,20.97,12.26,27.64,15.38,11.88,71.41,0.19
2025,3,2,20.88,15.16,18.02,20.92,12.94,27.82,14.88,12.12,73.69,0.11
2025,3,3,21.14,15.11,18.12,21.18,13.59,28.41,14.82,12.09,72.12,0.11
2025,3,4,20.95,16.63,18.79,20.67,11.56,27.23,15.67,13.33,79.23,0.92
2025,3,5,21.72,16.68,19.2,21.74,10.89,28.17,17.28,13.35,76.4,0.69
2025,3,6,21.36,15.94,18.65,21.29,11.74,27.9,16.16,12.72,74.68,0.47
2025,3,7,20.83,15.58,18.21,20.87,13.3,27.62,14.32,12.48,75.86,0.55
2025,3,8,21.41,17.22,19.32,21.64,9.9,27.22,17.32,13.83,80.12,1.06
2025,3,9,21.09,17.33,19.21,21.28,8.46,26.24,17.78,13.89,81.34,1.29
2025,3,10,21.41,17.07,19.24,21.4,11.89,27.85,15.96,13.7,78.77,1.65
2025,3,11,21.33,15.82,18.58,21.45,12.62,28.14,15.52,12.63,73.5,0.29
2025,3,12,21.67,16.43,19.05,21.65,13.12,28.73,15.61,13.21,76.62,1.19
2025,3,13,22.13,17.41,19.77,22.17,11.1,28.4,17.3,13.99,77.97,0.87
2025,3,14,22.17,17.77,19.97,22.28,10.19,28.33,18.14,14.33,79.25,1.01
2025,3,15,21.49,16.64,19.07,21.62,9.08,26.97,17.89,13.38,77.37,0.9
2025,3,16,21.73,15.96,18.84,21.63,11.52,28.14,16.62,12.76,73.44,0.2
2025,3,17,21.38,16.57,18.98,21.46,10.07,26.85,16.78,13.17,75.7,2.42
2025,3,18,21.27,15.64,18.46,21.53,10.22,27.01,16.79,12.43,72.06,0.99
2025,3,19,21.43,16.01,18.72,21.63,12.11,27.95,15.84,12.79,74.12,0.43
2025,3,20,21.92,14.97,18.45,21.98,12.13,28.59,16.46,12.04,69.08,0.22
2025,3,21,21.03,14.12,17.58,21.28,10.43,26.9,16.47,11.26,66.31,0.26
2025,3,22,20.29,10.07,15.18,20.42,14.72,28.17,13.45,8.76,56.68,0.01
2025,3,23,21.39,13.17,17.28,21.47,15.0,29.35,14.35,10.66,63.51,0.13
2025,3,24,21.96,16.29,19.12,22.05,12.62,29.14,16.52,13.04,73.31,2.28
2025,3,25,22.47,16.02,19.25,22.6,12.56,29.39,16.83,12.81,71.08,1.2
2025,3,26,22.07,15.38,18.72,22.21,11.69,28.66,16.97,12.25,68.61,0.63
2025,3,27,21.7,14.95,18.32,21.89,11.96,28.25,16.29,11.96,68.68,0.96
2025,3,28,21.61,16.33,18.97,21.89,12.02,28.48,16.46,13.09,75.21,2.65
2025,3,29,21.99,17.66,19.82,22.24,10.31,28.21,17.9,14.22,79.47,2.13
2025,3,30,21.89,18.26,20.08,22.11,8.88,27.23,18.35,14.76,82.05,2.97
2025,3,31,22.19,18.2,20.19,22.36,10.12,28.62,18.5,14.72,80.91,5.49
