COUNTRY_REGION_CODE,COUNTRY_REGION,SUB_REGION_1,SUB_REGION_2,METRO_AREA,ISO_3166_2_CODE,CENSUS_FIPS_CODE,PLACE_ID,DATE,RETAIL_AND_RECREATION_PERCENT_CHANGE_FROM_BASELINE,GROCERY_AND_PHARMACY_PERCENT_CHANGE_FROM_BASELINE,PARKS_PERCENT_CHANGE_FROM_BASELINE,TRANSIT_STATIONS_PERCENT_CHANGE_FROM_BASELINE,WORKPLACES_PERCENT_CHANGE_FROM_BASELINE,RESIDENTIAL_PERCENT_CHANGE_FROM_BASELINE
NI,Nicaragua,,,,,,,01-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,02-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,03-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,04-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,05-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,06-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,07-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,08-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,09-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,10-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,11-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,12-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,13-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,14-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,15-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,16-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,17-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,18-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,19-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,20-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,21-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,22-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,23-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,24-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,25-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,26-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,27-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,28-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,29-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,30-03-2025,40,60,35,24,27,8
NI,Nicaragua,,,,,,,31-03-2025,40,60,35,24,27,8
