YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2025,3,1,28.05,20.41,24.23,28.82,8.61,32.77,24.16,15.08,64.69,0.0
2025,3,2,28.19,20.26,24.23,28.85,9.28,33.21,23.93,14.93,63.64,0.0
2025,3,3,28.08,20.24,24.16,28.76,9.06,32.91,23.85,14.9,63.62,0.0
2025,3,4,28.36,20.54,24.45,29.14,8.98,33.1,24.12,15.19,63.84,0.0
2025,3,5,28.3,20.53,24.41,29.22,10.18,33.74,23.56,15.23,65.01,0.31
2025,3,6,28.35,20.22,24.28,29.09,9.86,33.63,23.77,14.93,63.6,0.57
2025,3,7,28.19,20.58,24.39,29.07,9.24,33.29,24.05,15.19,64.8,0.14
2025,3,8,28.49,19.95,24.22,29.51,10.56,34.17,23.61,14.68,62.43,0.0
2025,3,9,28.36,19.71,24.04,29.45,10.96,34.14,23.18,14.53,62.78,0.0
2025,3,10,28.59,20.35,24.47,29.58,10.28,34.02,23.74,15.03,63.14,0.03
2025,3,11,28.56,20.15,24.35,29.49,9.89,33.89,24.0,14.83,62.28,0.03
2025,3,12,28.4,19.95,24.17,29.25,9.28,33.36,24.08,14.64,61.91,0.02
2025,3,13,28.5,19.25,23.88,29.42,10.58,34.09,23.51,14.05,59.59,0.0
2025,3,14,28.69,19.35,24.02,29.88,11.39,34.81,23.42,14.2,60.09,0.0
2025,3,15,28.64,20.25,24.44,30.03,11.3,34.71,23.41,14.98,63.12,0.0
2025,3,16,29.4,20.78,25.09,30.81,11.03,35.64,24.61,15.49,62.74,0.17
2025,3,17,29.35,20.57,24.96,30.21,9.41,34.62,25.21,15.21,60.93,0.06
2025,3,18,28.51,17.42,22.97,29.27,8.94,33.62,24.68,12.63,53.78,0.0
2025,3,19,28.41,20.66,24.54,29.42,8.94,33.31,24.37,15.28,63.55,0.06
2025,3,20,28.95,20.32,24.64,29.89,10.43,34.69,24.26,15.01,61.78,0.05
2025,3,21,28.38,18.56,23.47,29.16,9.28,33.7,24.42,13.47,57.3,0.01
2025,3,22,28.26,18.58,23.42,29.03,10.38,33.66,23.28,13.45,56.86,0.0
2025,3,23,28.75,19.76,24.26,29.38,9.92,34.22,24.3,14.48,59.78,0.0
2025,3,24,28.87,20.39,24.63,29.73,10.22,34.27,24.05,15.03,61.29,0.1
2025,3,25,29.39,20.58,24.99,30.24,10.03,34.84,24.81,15.21,60.4,0.0
2025,3,26,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025,3,27,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025,3,28,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025,3,29,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025,3,30,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025,3,31,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
