YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2025,3,1,26.77,22.38,24.58,27.24,5.24,29.93,24.69,16.94,76.97,0.94
2025,3,2,26.44,22.6,24.52,26.92,4.91,29.33,24.42,17.17,79.62,2.43
2025,3,3,26.89,21.92,24.41,27.38,5.85,30.45,24.6,16.46,74.72,0.35
2025,3,4,26.81,21.57,24.19,27.37,6.47,30.56,24.09,16.1,73.52,0.15
2025,3,5,26.92,22.11,24.51,27.52,7.08,30.94,23.86,16.65,75.53,0.42
2025,3,6,26.97,22.15,24.56,27.55,7.07,30.95,23.88,16.68,75.59,0.55
2025,3,7,27.0,22.06,24.53,27.5,6.83,30.84,24.01,16.57,75.15,0.06
2025,3,8,27.62,22.72,25.17,28.1,6.49,31.27,24.78,17.26,75.12,0.06
2025,3,9,27.67,22.84,25.25,28.04,5.3,30.61,25.31,17.39,75.02,1.24
2025,3,10,27.46,23.02,25.24,27.94,5.58,30.92,25.34,17.6,76.95,0.77
2025,3,11,27.38,21.67,24.52,27.87,6.98,31.35,24.37,16.18,71.51,0.08
2025,3,12,27.41,21.75,24.58,27.85,6.42,31.12,24.7,16.26,71.69,0.11
2025,3,13,27.59,22.38,24.99,28.16,6.79,31.58,24.79,16.9,73.62,0.47
2025,3,14,27.74,22.39,25.06,28.27,6.59,31.65,25.06,16.92,73.18,0.85
2025,3,15,27.82,22.22,25.02,28.67,7.89,31.97,24.08,16.77,72.25,0.2
2025,3,16,27.62,22.41,25.01,28.17,6.03,30.9,24.87,16.92,73.62,0.46
2025,3,17,28.0,23.04,25.52,28.47,6.39,31.92,25.53,17.58,74.87,3.18
2025,3,18,27.73,21.58,24.65,28.13,6.01,31.28,25.27,16.1,69.86,0.24
2025,3,19,27.79,20.71,24.25,28.2,6.08,31.55,25.47,15.24,65.84,0.07
2025,3,20,27.71,21.56,24.64,28.26,7.06,31.86,24.8,16.07,69.55,0.12
2025,3,21,27.53,23.3,25.41,27.93,4.91,30.26,25.35,17.91,77.87,6.78
2025,3,22,28.02,23.86,25.94,28.35,5.28,31.24,25.96,18.56,78.21,1.8
2025,3,23,28.28,24.19,26.24,28.75,5.45,31.96,26.51,18.95,78.6,3.41
2025,3,24,28.95,24.55,26.75,29.78,6.92,33.49,26.57,19.37,77.54,3.23
2025,3,25,28.06,24.05,26.05,28.4,6.15,31.99,25.84,18.78,79.45,4.8
2025,3,26,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025,3,27,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025,3,28,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025,3,29,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025,3,30,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
2025,3,31,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
