YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2025,3,1,25.88,22.27,24.08,25.84,3.89,27.75,23.86,16.73,80.6,2.75
2025,3,2,25.18,19.83,22.51,25.65,4.74,27.67,22.93,14.23,72.08,0.01
2025,3,3,25.39,22.22,23.8,25.7,4.47,27.71,23.24,16.6,82.54,4.65
2025,3,4,26.99,23.21,25.1,27.07,6.9,31.32,24.42,17.65,79.91,2.97
2025,3,5,28.45,23.41,25.93,27.94,6.95,32.34,25.39,17.84,74.45,0.55
2025,3,6,29.23,23.46,26.34,28.64,8.38,33.85,25.47,17.86,71.39,3.03
2025,3,7,28.7,23.01,25.86,27.55,5.77,31.85,26.08,17.37,71.45,5.39
2025,3,8,23.8,19.0,21.4,24.65,6.46,26.96,20.5,13.89,75.09,9.61
2025,3,9,20.17,13.5,16.83,23.59,2.87,21.45,18.58,9.43,65.22,0.31
2025,3,10,21.03,11.61,16.32,23.51,6.49,24.19,17.7,8.42,55.54,0.01
2025,3,11,20.76,14.26,17.51,22.98,2.69,22.13,19.44,9.97,66.29,0.77
2025,3,12,19.1,13.16,16.13,21.84,1.83,19.81,17.98,9.2,68.13,1.07
2025,3,13,19.09,14.09,16.59,21.24,2.86,20.34,17.48,9.84,72.53,2.15
2025,3,14,20.32,14.87,17.6,21.59,3.39,22.26,18.87,10.35,70.73,1.28
2025,3,15,20.8,14.12,17.46,21.97,4.08,22.99,18.91,9.86,65.59,0.0
2025,3,16,21.88,15.85,18.86,22.82,5.93,24.91,18.98,11.04,69.17,0.04
2025,3,17,22.63,17.22,19.93,23.59,5.96,25.59,19.63,12.06,71.87,0.48
2025,3,18,23.2,18.46,20.83,23.53,5.97,25.83,19.86,13.06,74.67,2.14
2025,3,19,23.02,19.28,21.15,23.96,5.66,26.17,20.51,13.78,79.64,0.46
2025,3,20,23.87,19.35,21.61,24.3,6.78,27.31,20.53,13.81,76.26,0.0
2025,3,21,24.88,18.85,21.87,24.86,8.16,29.53,21.37,13.4,69.73,0.24
2025,3,22,24.27,18.72,21.5,23.95,5.17,27.28,22.11,13.33,71.32,8.13
2025,3,23,22.5,18.84,20.67,22.96,2.49,23.93,21.44,13.44,79.64,7.34
2025,3,24,22.25,18.14,20.2,22.98,2.99,24.07,21.08,12.82,77.46,0.5
2025,3,25,20.91,15.84,18.37,22.47,3.11,22.23,19.12,11.05,72.61,0.53
2025,3,26,21.67,14.98,18.32,22.41,6.66,25.05,18.39,10.51,65.61,0.0
2025,3,27,23.08,19.23,21.15,23.52,6.84,26.86,20.02,13.83,78.96,1.04
2025,3,28,22.39,20.31,21.35,22.99,3.9,24.7,20.8,14.81,88.21,4.74
2025,3,29,21.97,15.78,18.88,22.63,4.69,24.56,19.87,11.11,69.07,0.0
2025,3,30,23.62,18.28,20.95,23.46,8.99,27.85,18.86,13.15,72.6,7.14
2025,3,31,18.61,14.07,16.34,20.97,4.97,22.19,17.22,9.93,74.79,8.19
